,group,metric,mean,median,sd,n
0,overall,density,0.0141,0.0094,0.0136,320
1,task1,density,0.0164,0.0112,0.014,80
2,task2,density,0.0124,0.0092,0.0097,80
3,task3,density,0.0089,0.0081,0.0044,80
4,task4,density,0.0187,0.0108,0.0194,80
5,completed,density,0.0202,0.0156,0.0168,163
6,truncated,density,0.0078,0.0078,0.0021,157
7,overall,longest_path,127.375,114.0,82.1615,320
8,task1,longest_path,99.925,90.5,64.5112,80
9,task2,longest_path,135.6875,122.5,84.7949,80
10,task3,longest_path,161.575,157.5,75.3741,80
11,task4,longest_path,112.3125,82.5,89.32,80
12,completed,longest_path,81.1166,64.0,62.6251,163
13,truncated,longest_path,175.4013,161.0,71.9306,157
14,overall,n_edges,503.2844,492.0,299.5561,320
15,task1,n_edges,380.2875,358.5,246.2871,80
16,task2,n_edges,542.95,520.5,312.4547,80
17,task3,n_edges,647.7375,628.5,256.1896,80
18,task4,n_edges,442.1625,409.0,310.8016,80
19,completed,n_edges,324.681,265.0,245.8679,163
20,truncated,n_edges,688.7134,633.0,229.7461,157
21,overall,n_weakly_connected,2.5594,2.0,2.4062,320
22,task1,n_weakly_connected,2.0375,1.0,2.8967,80
23,task2,n_weakly_connected,2.6,2.0,2.1204,80
24,task3,n_weakly_connected,2.85,2.0,2.4136,80
25,task4,n_weakly_connected,2.75,2.0,2.0654,80
26,completed,n_weakly_connected,2.2147,2.0,1.8316,163
27,truncated,n_weakly_connected,2.9172,2.0,2.8464,157
